,Date,Cases,Deaths,Countries,Population,Continent,Cumulative Data
0,2020-09-29,12,3,Afghanistan,38041757.0,Asia,1.11456471
1,2020-09-28,0,0,Afghanistan,38041757.0,Asia,1.34326078
2,2020-09-27,35,0,Afghanistan,38041757.0,Asia,1.54041255
3,2020-09-26,6,2,Afghanistan,38041757.0,Asia,1.54041255
4,2020-09-25,16,0,Afghanistan,38041757.0,Asia,1.61401588
5,2020-09-24,25,5,Afghanistan,38041757.0,Asia,1.64556017
6,2020-09-23,71,2,Afghanistan,38041757.0,Asia,1.64293148
7,2020-09-22,30,3,Afghanistan,38041757.0,Asia,1.52464041
8,2020-09-21,0,0,Afghanistan,38041757.0,Asia,1.69813397
9,2020-09-20,125,4,Afghanistan,38041757.0,Asia,1.89265706
10,2020-09-19,47,1,Afghanistan,38041757.0,Asia,1.61664457
11,2020-09-18,0,0,Afghanistan,38041757.0,Asia,1.53515517
12,2020-09-17,17,0,Afghanistan,38041757.0,Asia,1.65344624
13,2020-09-16,40,10,Afghanistan,38041757.0,Asia,1.70864874
14,2020-09-15,99,6,Afghanistan,38041757.0,Asia,1.62715933
15,2020-09-14,75,0,Afghanistan,38041757.0,Asia,1.45629446
16,2020-09-13,35,0,Afghanistan,38041757.0,Asia,1.3090878
17,2020-09-12,34,0,Afghanistan,38041757.0,Asia,1.22496971
18,2020-09-11,28,0,Afghanistan,38041757.0,Asia,1.16450983
19,2020-09-10,24,2,Afghanistan,38041757.0,Asia,1.09879257
20,2020-09-09,26,3,Afghanistan,38041757.0,Asia,1.18028197
21,2020-09-08,96,3,Afghanistan,38041757.0,Asia,1.11456471
22,2020-09-07,74,2,Afghanistan,38041757.0,Asia,1.04884745
23,2020-09-06,20,0,Afghanistan,38041757.0,Asia,0.85432437
24,2020-09-05,16,0,Afghanistan,38041757.0,Asia,1.07776305
25,2020-09-04,45,1,Afghanistan,38041757.0,Asia,1.13559424
26,2020-09-03,38,3,Afghanistan,38041757.0,Asia,1.27228614
27,2020-09-02,9,0,Afghanistan,38041757.0,Asia,1.59298636
28,2020-09-01,34,4,Afghanistan,38041757.0,Asia,1.56932815
29,2020-08-31,19,0,Afghanistan,38041757.0,Asia,1.48783875
30,2020-08-30,3,0,Afghanistan,38041757.0,Asia,1.55618469
31,2020-08-29,11,1,Afghanistan,38041757.0,Asia,1.86374147
32,2020-08-28,3,0,Afghanistan,38041757.0,Asia,1.85322671
33,2020-08-27,55,4,Afghanistan,38041757.0,Asia,2.05300717
34,2020-08-26,1,0,Afghanistan,38041757.0,Asia,2.10820967
35,2020-08-25,71,10,Afghanistan,38041757.0,Asia,2.67074941
36,2020-08-24,0,0,Afghanistan,38041757.0,Asia,2.48411239
37,2020-08-23,105,2,Afghanistan,38041757.0,Asia,2.48411239
38,2020-08-22,38,0,Afghanistan,38041757.0,Asia,2.31061883
39,2020-08-21,97,2,Afghanistan,38041757.0,Asia,2.41576644
40,2020-08-20,160,8,Afghanistan,38041757.0,Asia,2.26855978
41,2020-08-19,0,0,Afghanistan,38041757.0,Asia,2.02409158
42,2020-08-18,3,0,Afghanistan,38041757.0,Asia,2.23964419
43,2020-08-17,45,5,Afghanistan,38041757.0,Asia,2.32901966
44,2020-08-16,120,7,Afghanistan,38041757.0,Asia,2.21072859
45,2020-08-15,7,0,Afghanistan,38041757.0,Asia,1.89528575
46,2020-08-14,79,9,Afghanistan,38041757.0,Asia,2.3185049
47,2020-08-13,76,10,Afghanistan,38041757.0,Asia,2.29747538
48,2020-08-12,215,32,Afghanistan,38041757.0,Asia,2.09769491
49,2020-08-11,0,0,Afghanistan,38041757.0,Asia,1.80328159
50,2020-08-10,0,0,Afghanistan,38041757.0,Asia,2.07929408
51,2020-08-09,39,5,Afghanistan,38041757.0,Asia,2.35793526
52,2020-08-08,78,9,Afghanistan,38041757.0,Asia,2.57348786
53,2020-08-07,41,0,Afghanistan,38041757.0,Asia,2.65234858
54,2020-08-06,67,4,Afghanistan,38041757.0,Asia,2.57874525
55,2020-08-05,82,6,Afghanistan,38041757.0,Asia,2.89681678
56,2020-08-04,37,4,Afghanistan,38041757.0,Asia,2.97567749
57,2020-08-03,0,1,Afghanistan,38041757.0,Asia,3.2464326
58,2020-08-02,0,0,Afghanistan,38041757.0,Asia,3.70382472
59,2020-08-01,168,12,Afghanistan,38041757.0,Asia,3.73536901
60,2020-07-31,71,0,Afghanistan,38041757.0,Asia,3.86943221
61,2020-07-30,0,0,Afghanistan,38041757.0,Asia,3.88257567
62,2020-07-29,103,1,Afghanistan,38041757.0,Asia,4.55026302
63,2020-07-28,105,1,Afghanistan,38041757.0,Asia,5.02868466
64,2020-07-27,106,10,Afghanistan,38041757.0,Asia,4.76318694
65,2020-07-26,121,13,Afghanistan,38041757.0,Asia,4.48454576
66,2020-07-25,108,35,Afghanistan,38041757.0,Asia,4.38991291
67,2020-07-24,13,0,Afghanistan,38041757.0,Asia,5.30995453
68,2020-07-23,188,21,Afghanistan,38041757.0,Asia,5.9460976
69,2020-07-22,112,4,Afghanistan,38041757.0,Asia,5.60699654
70,2020-07-21,140,5,Afghanistan,38041757.0,Asia,5.8646082
71,2020-07-20,174,17,Afghanistan,38041757.0,Asia,6.63481448
72,2020-07-19,12,17,Afghanistan,38041757.0,Asia,6.91082696
73,2020-07-18,219,32,Afghanistan,38041757.0,Asia,7.79406692
74,2020-07-17,76,21,Afghanistan,38041757.0,Asia,8.01224823
75,2020-07-16,254,49,Afghanistan,38041757.0,Asia,8.30140416
76,2020-07-15,285,33,Afghanistan,38041757.0,Asia,8.47226904
77,2020-07-14,4,2,Afghanistan,38041757.0,Asia,8.4564969
78,2020-07-13,0,0,Afghanistan,38041757.0,Asia,9.15835722
79,2020-07-12,85,16,Afghanistan,38041757.0,Asia,10.08102754
80,2020-07-11,458,37,Afghanistan,38041757.0,Asia,10.29132277
81,2020-07-10,255,20,Afghanistan,38041757.0,Asia,9.81290112
82,2020-07-09,59,1,Afghanistan,38041757.0,Asia,10.35178265
83,2020-07-08,210,16,Afghanistan,38041757.0,Asia,10.81180346
84,2020-07-07,433,56,Afghanistan,38041757.0,Asia,11.14827583
85,2020-07-06,279,38,Afghanistan,38041757.0,Asia,10.82494691
86,2020-07-05,348,7,Afghanistan,38041757.0,Asia,11.16667666
87,2020-07-04,302,12,Afghanistan,38041757.0,Asia,11.68715735
88,2020-07-03,186,33,Afghanistan,38041757.0,Asia,11.80281973
89,2020-07-02,319,28,Afghanistan,38041757.0,Asia,13.04356158
90,2020-07-01,279,13,Afghanistan,38041757.0,Asia,13.68759072
91,2020-06-30,271,12,Afghanistan,38041757.0,Asia,15.01245066
92,2020-06-29,351,18,Afghanistan,38041757.0,Asia,16.30050894
93,2020-06-28,165,20,Afghanistan,38041757.0,Asia,17.12328902
94,2020-06-27,276,8,Afghanistan,38041757.0,Asia,18.15110695
95,2020-06-26,460,36,Afghanistan,38041757.0,Asia,19.15000929
96,2020-06-25,234,21,Afghanistan,38041757.0,Asia,19.90444343
97,2020-06-24,338,20,Afghanistan,38041757.0,Asia,21.08735409
98,2020-06-23,310,17,Afghanistan,38041757.0,Asia,21.62360692
99,2020-06-22,409,12,Afghanistan,38041757.0,Asia,22.32020987
100,2020-06-21,546,21,Afghanistan,38041757.0,Asia,23.32436959
101,2020-06-20,346,2,Afghanistan,38041757.0,Asia,23.41900244
102,2020-06-19,658,42,Afghanistan,38041757.0,Asia,24.91472726
103,2020-06-18,564,13,Afghanistan,38041757.0,Asia,25.25382831
104,2020-06-17,783,13,Afghanistan,38041757.0,Asia,25.76379424
105,2020-06-16,761,7,Afghanistan,38041757.0,Asia,25.70070567
106,2020-06-15,664,20,Afghanistan,38041757.0,Asia,25.13290856
107,2020-06-14,556,5,Afghanistan,38041757.0,Asia,25.1749676
108,2020-06-13,656,20,Afghanistan,38041757.0,Asia,25.98986161
109,2020-06-12,747,21,Afghanistan,38041757.0,Asia,25.90311483
110,2020-06-11,684,21,Afghanistan,38041757.0,Asia,25.46412354
111,2020-06-10,542,15,Afghanistan,38041757.0,Asia,25.30903081
112,2020-06-09,575,12,Afghanistan,38041757.0,Asia,25.61395889
113,2020-06-08,791,30,Afghanistan,38041757.0,Asia,25.65601794
114,2020-06-07,582,18,Afghanistan,38041757.0,Asia,25.11187903
115,2020-06-06,915,9,Afghanistan,38041757.0,Asia,25.63761711
116,2020-06-05,787,6,Afghanistan,38041757.0,Asia,24.65185822
117,2020-06-04,758,24,Afghanistan,38041757.0,Asia,23.97891349
